check_item,evidence_file,evidence_snippet,pass_fail,risk,notes
ATTN_DIM variants,q16_qksv2_d16/d14/d13/d11.h,"#define ATTN_DIM 16/14/13/11",PASS,LOW,"Direct compile-time dimensions"
Wq physical pruning,qks_v2_params_q16_qksv2_d*.h,"Wq_pruned[ATTN_DIM * D_MODEL]",PASS,LOW,"Different generated parameter lengths"
Wk physical pruning,qks_v2_params_q16_qksv2_d*.h,"Wk_pruned[ATTN_DIM * D_MODEL]",PASS,LOW,"Different generated parameter lengths"
Q buffer shrinks,q16_qksv2_d*.cpp,"Q[SEQ_LEN][ATTN_DIM]",PASS,LOW,"Physical local array dimension"
K buffer shrinks,q16_qksv2_d*.cpp,"K[SEQ_LEN][ATTN_DIM]",PASS,LOW,"Physical local array dimension"
KV and K_sum shrink,q16_qksv2_d*.cpp,"KV[ATTN_DIM][D_MODEL]; K_sum[ATTN_DIM]",PASS,LOW,"Attention accumulation storage scales with ATTN_DIM"
Q/K projection loops shrink,q16_qksv2_d*.cpp,"for (int r = 0; r < ATTN_DIM; ++r)",PASS,LOW,"MAC loop bound is compile-time reduced"
KV/K_sum/output loops shrink,q16_qksv2_d*.cpp,"r < ATTN_DIM",PASS,LOW,"Reduced accumulation dimensions"
No mask or dense-output-zero path,q16_qksv2_d*.cpp,"NO mask; NO if(active) checks",PASS,LOW,"No runtime mask in v2 source"
No ACTIVE_CHANNELS indirect full loop,q16_qksv2_d*.cpp,"NO ACTIVE_CHANNELS indirect indexing",PASS,LOW,"Selected rows are emitted into physically pruned weights"
V projection remains dense,q16_qksv2_d*.cpp,"V[SEQ_LEN][D_MODEL] and loops < D_MODEL",PASS,MEDIUM,"Scope limitation: V is not pruned"
FFN LayerNorm pooling remain dense,q16_qksv2_d*.cpp,"token/channel loops use SEQ_LEN/D_MODEL/FF_DIM",PASS,MEDIUM,"Scope limitation: not whole-model channel sparsity"
HLS latency monotonic,qks_v2_csynth_summary.csv,"90650 > 86812 > 84874 > 81022 cycles",PASS,LOW,"Synthesis supports real reduced work"
PYNQ kernel monotonic,qks_v2_pynq_summary.csv,"1100.84 > 1063.64 > 1037.44 > 1005.70 us",PASS,LOW,"Board evidence supports latency benefit"
Accuracy stable,qks_v2_pynq_summary.csv,"93.6411/93.7863/94.1057/93.8444 percent",PASS,LOW,"No material degradation"
Vivado artifacts/timing,qks_v2_vivado_summary.csv,"bit=True hwh=True timing=PASS for all four",PASS,LOW,"All placed-and-routed configurations exist"
LUT device limit,qks_v2_vivado_summary.csv,"13322/13344/13349/13347 < 53200",PASS,LOW,"All fit comfortably"
Explicit HLS loop-name/tripcount table,csynth reports,"Reduced bound is source/compile-time evidenced but no consolidated loop table",PARTIAL,MEDIUM,"Extract loop hierarchy/tripcount into Experiment 2 presentation"
