required_evidence,available,source_file,status,notes
QKS-v2 is not mask,yes,experiments/.../q16_qksv2_d*/src/q16_qksv2_d*.cpp,AVAILABLE,"Source explicitly states no mask/no ACTIVE_CHANNELS and uses direct ATTN_DIM loops"
Physical Q/K dimension decreases,yes,q16_qksv2_d*.h and qks_v2_params_q16_qksv2_d*.h,AVAILABLE,"ATTN_DIM 16/14/13/11; Wq/Wk shapes shrink physically"
Loop tripcount decreases,yes,q16_qksv2_d*.cpp and csynth reports,AVAILABLE,"Q/K/KV/K_sum r loops are bounded by ATTN_DIM"
Estimated MAC decreases,yes,results/pynq_sparse_pareto_v2/qks_v2_software_sweep.csv; qks_v2_csynth_summary.csv,AVAILABLE,"Total estimate reduction 0/3.61/5.41/9.02 percent"
HLS latency decreases,yes,results/pynq_sparse_pareto_v2/qks_v2_csynth_summary.csv,AVAILABLE,"90650/86812/84874/81022 cycles"
PYNQ kernel latency decreases,yes,results/pynq_sparse_pareto_v2/qks_v2_pynq_summary.csv,AVAILABLE,"1100.84/1063.64/1037.44/1005.70 us; monotonic"
Accuracy remains stable,yes,results/pynq_sparse_pareto_v2/qks_v2_pynq_summary.csv,AVAILABLE,"93.64/93.79/94.11/93.84 percent"
Full-application non-monotonicity explained,yes,results/pynq_sparse_pareto_v2/qks_v2_latency_breakdown_summary.csv,AVAILABLE,"JPEG/PS preprocessing dominates about 65 percent and varies independently of PL pruning"
Formal Experiment 2 mechanism table,no,results/qks_v2_experiment2_sparsity_effectiveness/exp2_sparse_mechanism_table.csv,MISSING,"Directory/file absent"
Formal Experiment 2 summary table,no,results/qks_v2_experiment2_sparsity_effectiveness/exp2_sparsity_effectiveness_summary.csv,MISSING,"Directory/file absent"
Formal Experiment 2 MAC table,no,results/qks_v2_experiment2_sparsity_effectiveness/exp2_mac_reduction_table.csv,MISSING,"Directory/file absent"
Formal Experiment 2 figures,no,results/qks_v2_experiment2_sparsity_effectiveness/*.png; *.pdf,MISSING,"No dedicated experiment2 figures"
Formal Experiment 2 report,no,results/qks_v2_experiment2_sparsity_effectiveness/experiment2_sparsity_effectiveness_report.md,MISSING,"Evidence exists elsewhere but final package is not written"
