file_path,file_type,likely_experiment,likely_use,contains_accuracy,contains_precision_recall_f1,contains_latency,contains_resource,contains_hls_tripcount,contains_kernel_latency,contains_full_application_latency,contains_sparsity_info,usable_for_paper,notes
results/archive_before_real_event_sparse/archive_manifest.md,md,ESLA,report_or_text,no,no,yes,no,no,no,no,yes,no,archived duplicate/read-only
results/pynq_sparse_pareto_v2/qks_v2_phase7_fpga_inference_report.md,md,QKS-v2,report_or_text,yes,yes,yes,no,yes,yes,no,yes,yes,
results/pynq_sparse_pareto_v2/qks_v2_vivado_summary.csv,csv,QKS-v2,table_or_figure_data,yes,no,yes,yes,yes,no,no,yes,yes,
results/pynq_sparse_pareto_v2/qks_v2_vit4mal_aligned_strict_per_sample.csv,csv,QKS-v2,table_or_figure_data,no,no,no,no,no,yes,no,no,yes,
results/pynq_sparse_pareto_v2/qks_v2_loop_tripcount_check.csv,csv,QKS-v2,table_or_figure_data,yes,no,no,no,yes,no,no,yes,yes,
results/pynq_sparse_pareto_v2/qks_v2_vit4mal_aligned_strict_summary.csv,csv,QKS-v2,table_or_figure_data,yes,yes,yes,yes,yes,yes,no,yes,yes,
results/pynq_sparse_pareto_v2/qks_v2_phase6_vivado_report.md,md,QKS-v2,report_or_text,no,no,no,yes,yes,no,no,yes,yes,
results/pynq_sparse_pareto_v2/qks_v2_csynth_summary.csv,csv,QKS-v2,table_or_figure_data,yes,yes,yes,yes,yes,no,no,yes,yes,
results/pynq_sparse_pareto_v2/qks_v2_latency_breakdown_report.md,md,QKS-v2,report_or_text,no,yes,yes,no,no,yes,no,no,yes,
results/pynq_sparse_pareto_v2/qks_v2_physical_prune_report.md,md,QKS-v2,report_or_text,yes,no,yes,no,yes,no,no,yes,yes,
results/pynq_sparse_pareto_v2/table_vit4mal_aligned_conservative_comparison.csv,csv,QKS-v2,table_or_figure_data,yes,yes,yes,yes,no,yes,yes,no,yes,500x-class claim requires preliminary/non-strict label
results/pynq_sparse_pareto_v2/qks_v2_timing_fairness_final_report.md,md,QKS-v2,report_or_text,yes,no,yes,yes,no,no,no,no,yes,
results/pynq_sparse_pareto_v2/qks_v2_fpga_inference_time_per_sample_q16_qksv2_d14.csv,csv,QKS-v2,table_or_figure_data,no,no,no,no,no,yes,no,no,yes,
results/pynq_sparse_pareto_v2/timing_protocol_audit.md,md,legacy_sparse_pareto,report_or_text,yes,no,yes,yes,no,no,yes,no,yes,
results/pynq_sparse_pareto_v2/qks_v2_fpga_inference_time_per_sample_q16_qksv2_d11.csv,csv,QKS-v2,table_or_figure_data,no,no,no,no,no,yes,no,no,yes,
results/pynq_sparse_pareto_v2/qks_v2_vit4mal_aligned_strict_report.md,md,QKS-v2,report_or_text,no,no,yes,no,no,yes,yes,no,yes,
results/pynq_sparse_pareto_v2/qks_v2_implementation_timing_boundary.md,md,QKS-v2,report_or_text,yes,no,yes,no,no,no,no,no,yes,
results/pynq_sparse_pareto_v2/qks_v2_fpga_model_inference_summary.csv,csv,QKS-v2,table_or_figure_data,yes,yes,yes,yes,yes,yes,no,yes,yes,
results/pynq_sparse_pareto_v2/qks_v2_latency_breakdown_summary.csv,csv,QKS-v2,table_or_figure_data,yes,yes,yes,no,yes,yes,no,yes,yes,
results/pynq_sparse_pareto_v2/qks_v2_fpga_inference_time_per_sample_q16_qksv2_d16.csv,csv,QKS-v2,table_or_figure_data,no,no,no,no,no,yes,no,no,yes,
results/pynq_sparse_pareto_v2/qks_v2_phase7_pynq_report.md,md,QKS-v2,report_or_text,yes,yes,yes,no,yes,yes,no,yes,yes,
results/pynq_sparse_pareto_v2/qks_v2_fpga_inference_time_per_sample_q16_qksv2_d13.csv,csv,QKS-v2,table_or_figure_data,no,no,no,no,no,yes,no,no,yes,
results/pynq_sparse_pareto_v2/qks_v2_pynq_summary.csv,csv,QKS-v2,table_or_figure_data,yes,yes,yes,yes,yes,no,no,yes,yes,
results/pynq_sparse_pareto_v2/pending_pynq_runs_qks_v2.md,md,QKS-v2,report_or_text,no,no,yes,no,no,no,no,yes,yes,
results/pynq_sparse_pareto_v2/qks_v2_vit4mal_aligned_inference_summary.csv,csv,QKS-v2,table_or_figure_data,yes,yes,yes,yes,yes,yes,no,yes,yes,500x-class claim requires preliminary/non-strict label
results/pynq_sparse_pareto_v2/timing_protocol_definition.md,md,legacy_sparse_pareto,report_or_text,yes,no,yes,yes,no,yes,yes,yes,yes,
results/pynq_sparse_pareto_v2/timing_protocol_audit_table.csv,csv,QKS-v2,table_or_figure_data,yes,no,yes,no,no,yes,yes,no,yes,
results/pynq_sparse_pareto_v2/qks_v2_fpga_inference_time_summary.csv,csv,QKS-v2,table_or_figure_data,yes,yes,yes,yes,yes,yes,no,yes,yes,
results/pynq_sparse_pareto_v2/qks_v2_software_sweep.csv,csv,QKS-v2,table_or_figure_data,yes,yes,no,no,yes,no,no,yes,yes,
results/pynq_sparse_pareto_v2/qks_v2_fpga_model_inference_report.md,md,QKS-v2,report_or_text,yes,yes,yes,yes,yes,yes,yes,yes,yes,
results/fixed16_fit/v3b_combined_csynth.rpt,rpt,Linear_Transformer_reference,HLS_or_Vivado_evidence,no,no,yes,yes,no,no,no,no,yes,
results/fixed16_fit/v3a_ii2_csynth.rpt,rpt,Linear_Transformer_reference,HLS_or_Vivado_evidence,no,no,yes,yes,no,no,no,no,yes,
results/fixed16_fit/v3b_combined_v4_csynth.rpt,rpt,Linear_Transformer_reference,HLS_or_Vivado_evidence,no,no,yes,yes,no,no,no,no,yes,
results/fixed16_fit/v3b_hotspot_ii1_summary.md,md,unclear,report_or_text,no,no,yes,yes,no,no,no,no,review,
results/fixed16_fit/v2_resource_csynth.rpt,rpt,Linear_Transformer_reference,HLS_or_Vivado_evidence,no,no,yes,yes,no,no,no,no,yes,
